# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:0018108	peptidyl-tyrosine phosphorylation	28	51	1.6332729491660282e-17	4.4784344266132494e-14
GO:0007186	G protein-coupled receptor signaling pathway	32	80	1.0295801734807976e-14	2.823108835684347e-11
GO:0070374	positive regulation of ERK1 and ERK2 cascade	32	124	5.838219517469798e-09	1.6008397916902184e-05
GO:0018105	peptidyl-serine phosphorylation	26	88	7.431358196719029e-09	2.0376784175403577e-05
GO:0031623	receptor internalization	15	32	9.8846060036897e-09	2.7103589662117156e-05
GO:0014065	phosphatidylinositol 3-kinase signaling	13	24	1.0333116254319984e-08	2.8333404769345396e-05
GO:0019722	calcium-mediated signaling	14	28	1.0801258536551488e-08	2.961705090722418e-05
GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway	18	47	1.6913142197439376e-08	4.637583590537877e-05
GO:0016310	phosphorylation	13	27	6.532990572131555e-08	0.00017913460148784725
GO:0018107	peptidyl-threonine phosphorylation	16	44	2.4730058751340807e-07	0.0006780982109617649
GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB signaling	26	104	3.097979653065013e-07	0.0008494660208704266
GO:0038083	peptidyl-tyrosine autophosphorylation	8	11	3.247929138859957e-07	0.0008905821698754002
GO:0042310	vasoconstriction	6	6	3.5396658105059304e-07	0.0009705763652407261
GO:0014068	positive regulation of phosphatidylinositol 3-kinase signaling	16	45	3.5403428232533235e-07	0.0009707620021360613
GO:0030335	positive regulation of cell migration	34	162	4.708636977001174e-07	0.001291108259093722
GO:0007204	positive regulation of cytosolic calcium ion concentration	16	46	5.008385699803005e-07	0.001373299358885984
GO:0046777	protein autophosphorylation	30	134	5.23787561371007e-07	0.0014362254932793013
GO:0001934	positive regulation of protein phosphorylation	28	122	7.333321662007007e-07	0.0020107967997223214
GO:0007213	G protein-coupled acetylcholine receptor signaling pathway	7	9	9.169299020355928e-07	0.0025142217913815953
GO:0033209	tumor necrosis factor-mediated signaling pathway	12	28	1.0225186377866206e-06	0.0028037461048109136
GO:0006468	protein phosphorylation	42	230	1.1903570736500458e-06	0.0032639590959484257
GO:0007229	integrin-mediated signaling pathway	15	44	1.5309748453485913e-06	0.0041979330259458375
GO:0043410	positive regulation of MAPK cascade	20	75	2.4270466210528932e-06	0.006654961834927033
GO:1904646	cellular response to amyloid-beta	13	35	2.5405361290752777e-06	0.006966150065924412
GO:0050853	B cell receptor signaling pathway	10	23	7.134283129893109e-06	0.019562204342166906
GO:0060396	growth hormone receptor signaling pathway	6	8	8.53993904497139e-06	0.02341651286131155
GO:0035556	intracellular signal transduction	20	83	1.2928263366811955e-05	0.03544929815179838
GO:0008284	positive regulation of cell proliferation	44	270	1.469722921052042e-05	0.04029980249524699
