# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-416476	G alpha (q) signalling events	63	153	2.4787866180272434e-53	1.710362766438798e-50
R-HSA-418594	G alpha (i) signalling events	71	211	5.637337216550709e-53	1.9448813397099946e-50
R-HSA-375276	Peptide ligand-binding receptors	38	94	8.401519383903792e-32	1.932349458297872e-29
R-HSA-418555	G alpha (s) signalling events	34	128	1.2910609507834232e-21	2.2270801401014047e-19
R-HSA-9660821	ADORA2B mediated anti-inflammatory cytokines production	28	117	1.1236959728179443e-16	1.5507004424887632e-14
R-HSA-418597	G alpha (z) signalling events	17	48	1.1060961791960467e-13	1.2720106060754538e-11
R-HSA-456926	Thrombin signalling through proteinase activated receptors (PARs)	13	32	1.191752606194859e-11	1.1747275689635039e-09
R-HSA-9009391	Extra-nuclear estrogen signaling	16	57	3.4396638737639594e-11	2.966710091121415e-09
R-HSA-399997	Acetylcholine regulates insulin secretion	8	10	6.78956651076915e-11	5.2053343249230155e-09
R-HSA-434316	Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion	7	8	3.74938273044357e-10	2.5870740840060636e-08
R-HSA-6814122	Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding	12	42	8.314782572268618e-09	5.215636340786679e-07
R-HSA-202040	G-protein activation	10	28	1.3288081409723405e-08	7.640646810590958e-07
R-HSA-112043	PLC beta mediated events	8	16	1.6238519411551028e-08	8.003270281407293e-07
R-HSA-8853659	RET signaling	11	36	1.61131786890745e-08	8.003270281407293e-07
R-HSA-1433557	Signaling by SCF-KIT	11	37	2.224378137435468e-08	1.0232139432203155e-06
R-HSA-428930	Thromboxane signalling through TP receptor	9	24	4.411355988613389e-08	1.6910197956351325e-06
R-HSA-512988	Interleukin-3, Interleukin-5 and GM-CSF signaling	9	24	4.411355988613389e-08	1.6910197956351325e-06
R-HSA-380095	Tachykinin receptors bind tachykinins	5	5	4.343727270210156e-08	1.6910197956351325e-06
R-HSA-418592	ADP signalling through P2Y purinoceptor 1	8	25	1.0442340882649742e-06	3.602607604514161e-05
R-HSA-420092	Glucagon-type ligand receptors	9	33	9.933668257565151e-07	3.602607604514161e-05
R-HSA-2514859	Inactivation, recovery and regulation of the phototransduction cascade	9	34	1.3111083688535175e-06	4.307927497661557e-05
R-HSA-1236382	Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants	7	19	1.7091502931320815e-06	5.3605168284597106e-05
R-HSA-400042	Adrenaline,noradrenaline inhibits insulin secretion	8	28	2.7451658327142844e-06	8.235497498142854e-05
R-HSA-5218921	VEGFR2 mediated cell proliferation	7	21	3.7195952968135716e-06	0.00010266083019205457
R-HSA-186763	Downstream signal transduction	8	29	3.6801566529820773e-06	0.00010266083019205457
R-HSA-5673001	RAF/MAP kinase cascade	16	126	5.075883453858561e-06	0.00013470613781393874
R-HSA-5637810	Constitutive Signaling by EGFRvIII	6	15	5.5969491232906095e-06	0.00014303314426187112
R-HSA-390648	Muscarinic acetylcholine receptors	4	5	6.311408056577413e-06	0.00015553112710851483
R-HSA-1433559	Regulation of KIT signaling	6	16	8.700866841969164e-06	0.0002001199373652908
R-HSA-9665348	Signaling by ERBB2 ECD mutants	6	16	8.700866841969164e-06	0.0002001199373652908
R-HSA-432040	Vasopressin regulates renal water homeostasis via Aquaporins	9	43	1.076875021852479e-05	0.00023969153712200336
R-HSA-380108	Chemokine receptors bind chemokines	10	55	1.3115955150297763e-05	0.0002828127829282955
R-HSA-2485179	Activation of the phototransduction cascade	5	11	1.694788084923716e-05	0.0003439422878227541
R-HSA-390666	Serotonin receptors	5	11	1.694788084923716e-05	0.0003439422878227541
R-HSA-163359	Glucagon signaling in metabolic regulation	7	26	1.817705426380444e-05	0.0003583476412007161
R-HSA-210993	Tie2 Signaling	6	18	1.9042043125801065e-05	0.00036497249324452045
R-HSA-912526	Interleukin receptor SHC signaling	7	27	2.383206491137998e-05	0.0004444358051041132
R-HSA-430116	GP1b-IX-V activation signalling	5	12	2.8248762908895635e-05	0.0005129380633457365
R-HSA-9670439	Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants	6	20	3.753684985158744e-05	0.0006641134973742394
R-HSA-8856825	Cargo recognition for clathrin-mediated endocytosis	13	103	4.193035291762822e-05	0.0007056571588576456
