# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-416476	G alpha (q) signalling events	80	153	8.716255099370054e-46	9.88423328268564e-43
R-HSA-418594	G alpha (i) signalling events	84	211	1.5232596191605403e-36	1.7273764081280527e-33
R-HSA-375276	Peptide ligand-binding receptors	44	94	5.320832668270697e-23	6.03382424581897e-20
R-HSA-1433557	Signaling by SCF-KIT	27	37	1.205158015223808e-21	1.3666491892637983e-18
R-HSA-418555	G alpha (s) signalling events	48	128	6.18156707937814e-20	7.00989706801481e-17
R-HSA-9670439	Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants	18	20	7.035775813460509e-18	7.978569772464217e-15
R-HSA-5673001	RAF/MAP kinase cascade	44	126	5.325462837863853e-17	6.039074858137609e-14
R-HSA-186763	Downstream signal transduction	21	29	5.542946936392188e-17	6.285701825868741e-14
R-HSA-9660821	ADORA2B mediated anti-inflammatory cytokines production	41	117	5.49780241025147e-16	6.234507933225167e-13
R-HSA-512988	Interleukin-3, Interleukin-5 and GM-CSF signaling	18	24	3.59098937281214e-15	4.072181948768967e-12
R-HSA-418597	G alpha (z) signalling events	25	48	5.403025287417934e-15	6.127030675931938e-12
R-HSA-912631	Regulation of signaling by CBL	17	22	9.17333414038349e-15	1.0402560915194877e-11
R-HSA-9009391	Extra-nuclear estrogen signaling	27	57	9.30851234833191e-15	1.0555853003008385e-11
R-HSA-2871796	FCERI mediated MAPK activation	20	32	2.5339142128186892e-14	2.8734587173363937e-11
R-HSA-2424491	DAP12 signaling	19	29	3.195602899807162e-14	3.6238136883813216e-11
R-HSA-4420097	VEGFA-VEGFR2 Pathway	27	62	1.2280027139468127e-13	1.3925550776156856e-10
R-HSA-114604	GPVI-mediated activation cascade	20	35	2.8488997381965476e-13	3.230652303114885e-10
R-HSA-456926	Thrombin signalling through proteinase activated receptors (PARs)	19	32	4.3331515753701074e-13	4.913793886469702e-10
R-HSA-912526	Interleukin receptor SHC signaling	17	27	1.952884126522048e-12	2.2145705994760025e-09
R-HSA-6802946	Signaling by moderate kinase activity BRAF mutants	22	47	3.9113941117901505e-12	4.435520922770031e-09
R-HSA-6802955	Paradoxical activation of RAF signaling by kinase inactive BRAF	22	47	3.9113941117901505e-12	4.435520922770031e-09
R-HSA-9649948	Signaling downstream of RAS mutants	22	47	3.9113941117901505e-12	4.435520922770031e-09
R-HSA-9656223	Signaling by RAF1 mutants	21	43	4.296317121432036e-12	4.8720236157039294e-09
R-HSA-1433559	Regulation of KIT signaling	13	16	4.7535549014137665e-12	5.390531258203211e-09
R-HSA-1236382	Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants	14	19	7.009071183877827e-12	7.948286722517456e-09
R-HSA-6802948	Signaling by high-kinase activity BRAF mutants	19	36	7.726155001913316e-12	8.761459772169701e-09
R-HSA-5674135	MAP2K and MAPK activation	20	40	8.020404796747215e-12	9.095139039511342e-09
R-HSA-5637810	Constitutive Signaling by EGFRvIII	12	15	4.6206279745927073e-11	5.23979212318813e-08
R-HSA-8853659	RET signaling	18	36	9.066652910209366e-11	1.028158440017742e-07
R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	31	101	1.0568774796781852e-10	1.198499061955062e-07
R-HSA-9664422	FCGR3A-mediated phagocytosis	23	59	1.2693072362587112e-10	1.4393944059173786e-07
R-HSA-9665348	Signaling by ERBB2 ECD mutants	12	16	1.7056445427784876e-10	1.9342009115108048e-07
R-HSA-2730905	Role of LAT2/NTAL/LAB on calcium mobilization	12	16	1.7056445427784876e-10	1.9342009115108048e-07
R-HSA-9027284	Erythropoietin activates RAS	11	14	4.4182897341327826e-10	5.010340558506575e-07
R-HSA-6785807	Interleukin-4 and Interleukin-13 signaling	31	107	5.322882161208112e-10	6.036148370809998e-07
R-HSA-982772	Growth hormone receptor signaling	14	24	7.886560050035993e-10	8.943359096740816e-07
R-HSA-1257604	PIP3 activates AKT signaling	28	91	7.999448853461227e-10	9.071374999825032e-07
R-HSA-9020558	Interleukin-2 signaling	10	12	1.035624025951661e-09	1.1743976454291835e-06
R-HSA-9673767	Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants	10	12	1.035624025951661e-09	1.1743976454291835e-06
R-HSA-9673770	Signaling by PDGFRA extracellular domain mutants	10	12	1.035624025951661e-09	1.1743976454291835e-06
R-HSA-399997	Acetylcholine regulates insulin secretion	9	10	2.0240207474696186e-09	2.2952395276305474e-06
R-HSA-6802952	Signaling by BRAF and RAF fusions	23	67	2.4192640571813685e-09	2.743445440843672e-06
R-HSA-434316	Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion	8	8	2.604076184800795e-09	2.9530223935641012e-06
R-HSA-2219530	Constitutive Signaling by Aberrant PI3K in Cancer	24	73	2.946433834075043e-09	3.3412559678410988e-06
R-HSA-9634285	Constitutive Signaling by Overexpressed ERBB2	9	11	1.029131565458864e-08	1.1670351952303518e-05
R-HSA-1059683	Interleukin-6 signaling	9	11	1.029131565458864e-08	1.1670351952303518e-05
R-HSA-428930	Thromboxane signalling through TP receptor	13	24	1.111824154711316e-08	1.2608085914426324e-05
R-HSA-2029482	Regulation of actin dynamics for phagocytic cup formation	21	61	1.134682002373616e-08	1.2867293906916807e-05
R-HSA-202040	G-protein activation	14	28	1.1674580121622426e-08	1.323897385791983e-05
R-HSA-8983432	Interleukin-15 signaling	10	14	1.3406022242376527e-08	1.5202429222854981e-05
R-HSA-877312	Regulation of IFNG signaling	10	14	1.3406022242376527e-08	1.5202429222854981e-05
R-HSA-3928662	EPHB-mediated forward signaling	17	42	1.7342288842602588e-08	1.9666155547511335e-05
R-HSA-6814122	Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding	17	42	1.7342288842602588e-08	1.9666155547511335e-05
R-HSA-2871809	FCERI mediated Ca+2 mobilization	15	33	1.8144014993509876e-08	2.05753130026402e-05
R-HSA-420092	Glucagon-type ligand receptors	15	33	1.8144014993509876e-08	2.05753130026402e-05
R-HSA-5218921	VEGFR2 mediated cell proliferation	12	21	1.844716708398517e-08	2.0919087473239183e-05
R-HSA-5621575	CD209 (DC-SIGN) signaling	12	21	1.844716708398517e-08	2.0919087473239183e-05
R-HSA-9664565	Signaling by ERBB2 KD Mutants	13	25	2.1372106972609465e-08	2.4235969306939134e-05
R-HSA-210993	Tie2 Signaling	11	18	2.8080496362742852e-08	3.1843282875350395e-05
R-HSA-1250196	SHC1 events in ERBB2 signaling	12	22	3.7460513017832374e-08	4.2480221762221914e-05
R-HSA-375165	NCAM signaling for neurite out-growth	12	22	3.7460513017832374e-08	4.2480221762221914e-05
R-HSA-210990	PECAM1 interactions	9	12	3.805839054061055e-08	4.3158214873052364e-05
R-HSA-389359	CD28 dependent Vav1 pathway	9	12	3.805839054061055e-08	4.3158214873052364e-05
R-HSA-112043	PLC beta mediated events	10	16	9.155580621006759e-08	0.00010382428424221664
R-HSA-983695	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	14	32	9.93336901749488e-08	0.00011264440465839193
R-HSA-110056	MAPK3 (ERK1) activation	8	10	1.0032929140582525e-07	0.00011377341645420583
R-HSA-416482	G alpha (12/13) signalling events	22	77	2.2833651377084585e-07	0.0002589336066161392
R-HSA-418592	ADP signalling through P2Y purinoceptor 1	12	25	2.3697290767677786e-07	0.0002687272773054661
R-HSA-2586552	Signaling by Leptin	8	11	3.4043056007882854e-07	0.00038604825512939157
R-HSA-9665686	Signaling by ERBB2 TMD/JMD mutants	11	22	4.527991831786532e-07	0.0005134742737245928
R-HSA-354192	Integrin signaling	11	23	8.01588833840648e-07	0.0009090017375752949
R-HSA-2029485	Role of phospholipids in phagocytosis	11	23	8.01588833840648e-07	0.0009090017375752949
R-HSA-8984722	Interleukin-35 Signalling	8	12	9.45174899146091e-07	0.0010718283356316671
R-HSA-9027276	Erythropoietin activates Phosphoinositide-3-kinase (PI3K)	8	12	9.45174899146091e-07	0.0010718283356316671
R-HSA-9607240	FLT3 Signaling	8	12	9.45174899146091e-07	0.0010718283356316671
R-HSA-389356	CD28 co-stimulation	7	9	9.557471193261392e-07	0.0010838172333158418
R-HSA-8985947	Interleukin-9 signaling	7	9	9.557471193261392e-07	0.0010838172333158418
R-HSA-198203	PI3K/AKT activation	7	9	9.557471193261392e-07	0.0010838172333158418
R-HSA-400042	Adrenaline,noradrenaline inhibits insulin secretion	12	28	1.09086505702956e-06	0.001237040974671521
R-HSA-1295596	Spry regulation of FGF signaling	9	16	1.4467788382073051e-06	0.001640647202527084
R-HSA-5684264	MAP3K8 (TPL2)-dependent MAPK1/3 activation	9	16	1.4467788382073051e-06	0.001640647202527084
R-HSA-912694	Regulation of IFNA signaling	10	20	1.5403770537796745e-06	0.001746787578986151
R-HSA-5218920	VEGFR2 mediated vascular permeability	12	29	1.7181485915070262e-06	0.0019483805027689677
R-HSA-8856828	Clathrin-mediated endocytosis	28	127	1.9495078724903778e-06	0.0022107419274040884
R-HSA-9027277	Erythropoietin activates Phospholipase C gamma (PLCG)	6	7	2.383903024393505e-06	0.0027033460296622346
R-HSA-9027283	Erythropoietin activates STAT5	6	7	2.383903024393505e-06	0.0027033460296622346
R-HSA-9664323	FCGR3A-mediated IL10 synthesis	14	40	2.567007341492963e-06	0.0029109863252530202
R-HSA-445144	Signal transduction by L1	10	21	2.717874513505756e-06	0.0030820696983155276
R-HSA-442982	Ras activation upon Ca2+ influx through NMDA receptor	10	21	2.717874513505756e-06	0.0030820696983155276
R-HSA-74749	Signal attenuation	7	10	2.9517220511516978e-06	0.003347252806006025
R-HSA-9020958	Interleukin-21 signaling	7	10	2.9517220511516978e-06	0.003347252806006025
R-HSA-163359	Glucagon signaling in metabolic regulation	11	26	3.610227489069161e-06	0.004093997972604429
R-HSA-380095	Tachykinin receptors bind tachykinins	5	5	4.3505879277623545e-06	0.00493356671008251
R-HSA-8849471	PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases	8	14	4.912336085547951e-06	0.005570589121011376
R-HSA-432040	Vasopressin regulates renal water homeostasis via Aquaporins	14	43	6.812198752828287e-06	0.007725033385707277
R-HSA-9020956	Interleukin-27 signaling	7	11	7.521482160496161e-06	0.008529360770002646
R-HSA-5655291	Signaling by FGFR4 in disease	7	11	7.521482160496161e-06	0.008529360770002646
R-HSA-8875555	MET activates RAP1 and RAC1	7	11	7.521482160496161e-06	0.008529360770002646
R-HSA-164944	Nef and signal transduction	6	8	8.847848843440408e-06	0.010033460588461423
R-HSA-111447	Activation of BAD and translocation to mitochondria 	8	15	9.744187745942298e-06	0.011049908903898566
R-HSA-4086398	Ca2+ pathway	17	62	9.922813474999316e-06	0.011252470480649224
R-HSA-5625740	RHO GTPases activate PKNs	11	29	1.2747462332540636e-05	0.014455622285101081
R-HSA-418217	G beta:gamma signalling through PLC beta	9	20	1.5544667044910697e-05	0.01762765242892873
R-HSA-170968	Frs2-mediated activation	7	12	1.6728312326296065e-05	0.018969906178019736
R-HSA-2029481	FCGR activation	7	12	1.6728312326296065e-05	0.018969906178019736
R-HSA-1445148	Translocation of SLC2A4 (GLUT4) to the plasma membrane	18	71	1.7932564531846184e-05	0.020335528179113573
R-HSA-180292	GAB1 signalosome	8	16	1.8041596653758968e-05	0.02045917060536267
R-HSA-8854691	Interleukin-20 family signaling	10	25	1.838808487638599e-05	0.020852088249821713
R-HSA-5663213	RHO GTPases Activate WASPs and WAVEs	12	36	2.3731233211368864e-05	0.026911218461692293
R-HSA-5673000	RAF activation	12	36	2.3731233211368864e-05	0.026911218461692293
R-HSA-392154	Nitric oxide stimulates guanylate cyclase	5	6	2.426815953870958e-05	0.027520092916896666
R-HSA-9634635	Estrogen-stimulated signaling through PRKCZ	5	6	2.426815953870958e-05	0.027520092916896666
R-HSA-112399	IRS-mediated signalling	5	6	2.426815953870958e-05	0.027520092916896666
R-HSA-390696	Adrenoceptors	6	9	2.4632052291790195e-05	0.02793274729889008
R-HSA-2179392	EGFR Transactivation by Gastrin	6	9	2.4632052291790195e-05	0.02793274729889008
R-HSA-2428933	SHC-related events triggered by IGF1R	6	9	2.4632052291790195e-05	0.02793274729889008
R-HSA-74751	Insulin receptor signalling cascade	6	9	2.4632052291790195e-05	0.02793274729889008
R-HSA-9026519	Activated NTRK2 signals through RAS	6	9	2.4632052291790195e-05	0.02793274729889008
R-HSA-112411	MAPK1 (ERK2) activation	6	9	2.4632052291790195e-05	0.02793274729889008
R-HSA-6807004	Negative regulation of MET activity	9	21	2.5164761443374534e-05	0.028536839476786723
