# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-418594	G alpha (i) signalling events	56	211	2.782866569208673e-35	2.357087984119746e-32
R-HSA-416476	G alpha (q) signalling events	47	153	8.179224190954209e-33	3.463901444869108e-30
R-HSA-418555	G alpha (s) signalling events	38	128	5.172909326820514e-26	1.460484733272325e-23
R-HSA-418597	G alpha (z) signalling events	25	48	1.0814042354548503e-24	2.289873468575646e-22
R-HSA-9660821	ADORA2B mediated anti-inflammatory cytokines production	34	117	5.104756904430622e-23	8.647458196105475e-21
R-HSA-9009391	Extra-nuclear estrogen signaling	22	57	2.680507771081288e-18	3.7839834701764183e-16
R-HSA-202040	G-protein activation	16	28	4.416561309181031e-17	5.344039184109047e-15
R-HSA-456926	Thrombin signalling through proteinase activated receptors (PARs)	16	32	7.714237164075338e-16	8.167448597464765e-14
R-HSA-400042	Adrenaline,noradrenaline inhibits insulin secretion	15	28	1.6296061864096928e-15	1.5336404887655663e-13
R-HSA-418592	ADP signalling through P2Y purinoceptor 1	14	25	6.359639778110546e-15	5.386614892059633e-13
R-HSA-6814122	Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding	17	42	7.98508069850907e-15	6.148512137851984e-13
R-HSA-392170	ADP signalling through P2Y purinoceptor 12	13	22	2.3191588413211497e-14	1.636939615499178e-12
R-HSA-428930	Thromboxane signalling through TP receptor	13	24	1.0945254978736608e-13	7.131254589992236e-12
R-HSA-163359	Glucagon signaling in metabolic regulation	13	26	4.289110848012965e-13	2.5949120630478437e-11
R-HSA-392851	Prostacyclin signalling through prostacyclin receptor	11	19	3.4006748453327734e-12	1.9202477293312393e-10
R-HSA-432040	Vasopressin regulates renal water homeostasis via Aquaporins	15	43	4.156057494085979e-12	2.2001129359317653e-10
R-HSA-381676	Glucagon-like Peptide-1 (GLP1) regulates insulin secretion	14	42	4.4725825489436646e-11	2.2283984817384025e-09
R-HSA-1296041	Activation of G protein gated Potassium channels	12	29	5.804550543069432e-11	2.5876075315683207e-09
R-HSA-997272	Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits	12	29	5.804550543069432e-11	2.5876075315683207e-09
R-HSA-420092	Glucagon-type ligand receptors	12	33	3.5119508584858863e-10	1.4873111885687728e-08
R-HSA-8964315	G beta:gamma signalling through BTK	9	18	1.964458739133817e-09	7.923316914506394e-08
R-HSA-392451	G beta:gamma signalling through PI3Kgamma	10	25	3.6243277279670623e-09	1.3953661752673189e-07
R-HSA-418217	G beta:gamma signalling through PLC beta	9	20	6.390311408592828e-09	2.2552474012825523e-07
R-HSA-8964616	G beta:gamma signalling through CDC42	9	20	6.390311408592828e-09	2.2552474012825523e-07
R-HSA-500657	Presynaptic function of Kainate receptors	9	21	1.0851972983045393e-08	3.676648446655779e-07
R-HSA-3371511	HSF1 activation	7	12	3.299611527872534e-08	1.0749119092723217e-06
R-HSA-390651	Dopamine receptors	5	5	4.343727270210156e-08	1.3139774992385722e-06
R-HSA-380095	Tachykinin receptors bind tachykinins	5	5	4.343727270210156e-08	1.3139774992385722e-06
R-HSA-4086398	Ca2+ pathway	13	62	1.1373035470227691e-07	3.2109870144276178e-06
R-HSA-390696	Adrenoceptors	6	9	1.116926625343243e-07	3.2109870144276178e-06
R-HSA-170670	Adenylate cyclase inhibitory pathway	7	14	1.3481839262975076e-07	3.683586405077384e-06
R-HSA-2565942	Regulation of PLK1 Activity at G2/M Transition	14	87	1.1508120211974503e-06	3.0460555686070014e-05
R-HSA-75035	Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex	6	13	2.03283966712489e-06	5.2176218122872184e-05
R-HSA-400253	Circadian Clock	11	57	2.6162094868097554e-06	6.331226958079607e-05
R-HSA-400206	Regulation of lipid metabolism by PPARalpha	7	20	2.5534830707557457e-06	6.331226958079607e-05
R-HSA-380259	Loss of Nlp from mitotic centrosomes	12	69	2.910974769324204e-06	6.663771971939462e-05
R-HSA-380284	Loss of proteins required for interphase microtubule organization from the centrosome	12	69	2.910974769324204e-06	6.663771971939462e-05
R-HSA-375276	Peptide ligand-binding receptors	14	94	2.9928254320703028e-06	6.670850370956702e-05
R-HSA-8854518	AURKA Activation by TPX2	12	72	4.630928467292354e-06	0.00010057426696914421
