# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:0004674	protein serine/threonine kinase activity	59	211	1.7961411533792314e-12	1.1782685966167757e-09
GO:0004672	protein kinase activity	36	98	8.467791356311027e-12	5.554871129740033e-09
GO:0015464	acetylcholine receptor activity	8	10	6.590820461233054e-07	0.00043235782225688836
GO:0098505	G-rich strand telomeric DNA binding	8	10	6.590820461233054e-07	0.00043235782225688836
GO:0022848	acetylcholine-gated cation-selective channel activity	7	9	4.937665410294592e-06	0.003239108509153252
GO:0003682	chromatin binding	36	161	1.3967842739947625e-05	0.009162904837405643
GO:0003723	RNA binding	32	137	1.6408922046211e-05	0.010764252862314415
GO:0003684	damaged DNA binding	11	25	2.320990277648765e-05	0.015225696221375899
GO:0003730	mRNA 3'-UTR binding	15	44	3.1334845204761684e-05	0.020555658454323663
GO:0004713	protein tyrosine kinase activity	16	49	3.159001151322169e-05	0.02072304755267343
GO:0033558	protein deacetylase activity	7	11	3.7204951766057905e-05	0.024406448358533984
GO:0048027	mRNA 5'-UTR binding	10	22	3.907271672297296e-05	0.02563170217027026
GO:0003714	transcription corepressor activity	24	95	4.873751348053554e-05	0.031971808843231316
GO:0001046	core promoter sequence-specific DNA binding	8	15	5.733148792779928e-05	0.03760945608063633
