# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:0004674	protein serine/threonine kinase activity	32	211	3.1913400185628785e-10	9.356139833219318e-08
GO:0015464	acetylcholine receptor activity	8	10	4.5863430554996653e-10	9.356139833219318e-08
GO:0022848	acetylcholine-gated cation-selective channel activity	7	9	8.698704430655632e-09	1.183023802569166e-06
GO:0004672	protein kinase activity	18	98	1.4659282854293703e-07	1.4952468511379578e-05
GO:0003723	RNA binding	20	137	1.4264346316477803e-06	0.00011639706594245887
GO:0030235	nitric-oxide synthase regulator activity	4	4	3.398290951361686e-06	0.00015405585646172977
GO:1904315	transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	4	4	3.398290951361686e-06	0.00015405585646172977
GO:0033558	protein deacetylase activity	6	11	2.3628475179111486e-06	0.00015405585646172977
GO:0022850	serotonin-gated cation-selective channel activity	4	4	3.398290951361686e-06	0.00015405585646172977
GO:0003684	damaged DNA binding	8	25	6.23406231192938e-06	0.0002543497423267187
GO:1990841	promoter-specific chromatin binding	9	35	1.2060157123260816e-05	0.0004473221914809466
GO:0051117	ATPase binding	6	14	1.3752265246056652e-05	0.0004675770183659262
GO:0004407	histone deacetylase activity	6	15	2.2092987322852057e-05	0.0006933799098248954
GO:0098505	G-rich strand telomeric DNA binding	5	10	3.048362675265602e-05	0.0008883799796488324
GO:0004713	protein tyrosine kinase activity	10	49	3.543574528259967e-05	0.000963852271686711
GO:0003714	transcription corepressor activity	14	95	4.988761602877172e-05	0.0012721342087336788
GO:0003682	chromatin binding	19	161	5.8481770339903145e-05	0.0014035624881576756
GO:0030911	TPR domain binding	3	3	7.950922003669405e-05	0.0018022089874983984
GO:0003730	mRNA 3'-UTR binding	9	44	8.59168986143211e-05	0.0018449523491917373
GO:0004693	cyclin-dependent protein serine/threonine kinase activity	4	7	0.00010720200670830024	0.002186920936849325
GO:0003713	transcription coactivator activity	17	144	0.00014254950127291988	0.002769533167588158
GO:0048027	mRNA 5'-UTR binding	6	22	0.00025481108147766606	0.00472558732922217
GO:0000978	RNA polymerase II proximal promoter sequence-specific DNA binding	26	290	0.00029773780419810406	0.0051634483811119096
GO:0001046	core promoter sequence-specific DNA binding	5	15	0.00030373225771246527	0.0051634483811119096
GO:0051787	misfolded protein binding	4	9	0.0003601863297872315	0.0056521547135842485
GO:0004993	G protein-coupled serotonin receptor activity	4	9	0.0003601863297872315	0.0056521547135842485
GO:0003725	double-stranded RNA binding	9	54	0.00044079260064246406	0.006422977895075905
GO:0019899	enzyme binding	6	24	0.0004272719073540926	0.006422977895075905
GO:0036002	pre-mRNA binding	4	10	0.0005799881318110432	0.008159833026858816
GO:0046976	histone methyltransferase activity (H3-K27 specific)	3	5	0.0007449866622746511	0.010131818606935255
GO:0008143	poly(A) binding	4	12	0.0012763113838842111	0.01679790466531478
GO:0097100	supercoiled DNA binding	3	6	0.0014424127506789482	0.01730895300814738
GO:0042166	acetylcholine binding	3	6	0.0014424127506789482	0.01730895300814738
GO:0005496	steroid binding	3	6	0.0014424127506789482	0.01730895300814738
GO:0004677	DNA-dependent protein kinase activity	2	2	0.001854628040806189	0.01940226258074167
GO:0097472	cyclin-dependent protein kinase activity	2	2	0.001854628040806189	0.01940226258074167
GO:0061752	telomeric repeat-containing RNA binding	2	2	0.001854628040806189	0.01940226258074167
GO:0050815	phosphoserine residue binding	2	2	0.001854628040806189	0.01940226258074167
GO:0031624	ubiquitin conjugating enzyme binding	2	2	0.001854628040806189	0.01940226258074167
GO:0016887	ATPase activity	11	92	0.0019075788815615918	0.019457304591928237
GO:0005524	ATP binding	19	213	0.0020439033624089047	0.020170650343560956
GO:0042162	telomeric DNA binding	5	22	0.0020763904765430394	0.020170650343560956
GO:0003724	RNA helicase activity	4	14	0.0024100471833037587	0.021675628042082954
GO:0048156	tau protein binding	3	7	0.0024438208086662153	0.021675628042082954
GO:0019789	SUMO transferase activity	4	14	0.0024100471833037587	0.021675628042082954
GO:0045182	translation regulator activity	3	7	0.0024438208086662153	0.021675628042082954
GO:0004879	nuclear receptor activity	5	23	0.0025608399007555735	0.021767139156422376
GO:0031625	ubiquitin protein ligase binding	6	33	0.00253447836335381	0.021767139156422376
GO:0003677	DNA binding	21	252	0.002795208282549875	0.023274387332252018
GO:0043130	ubiquitin binding	7	45	0.0028697667453215035	0.02341729664182347
GO:0031490	chromatin DNA binding	6	35	0.0034549111315516647	0.027582534862678004
GO:0003691	double-stranded telomeric DNA binding	3	8	0.0037858381184067854	0.027582534862678004
GO:0003678	DNA helicase activity	5	25	0.003767367550948613	0.027582534862678004
GO:0044183	protein binding involved in protein folding	3	8	0.0037858381184067854	0.027582534862678004
GO:0008353	RNA polymerase II CTD heptapeptide repeat kinase activity	3	8	0.0037858381184067854	0.027582534862678004
GO:0030332	cyclin binding	3	8	0.0037858381184067854	0.027582534862678004
GO:0003697	single-stranded DNA binding	8	60	0.003960227629343454	0.028346892504774197
GO:0000979	RNA polymerase II core promoter sequence-specific DNA binding	4	16	0.004092538381096985	0.028788890680820172
GO:0003690	double-stranded DNA binding	7	48	0.004169841220736492	0.028835512170516758
GO:0016301	kinase activity	6	37	0.0046033181544561435	0.031302563450301774
GO:0003729	mRNA binding	8	63	0.005361738818387473	0.031502645690642574
GO:0035173	histone kinase activity	2	3	0.0054048656822180885	0.031502645690642574
GO:0043125	ErbB-3 class receptor binding	2	3	0.0054048656822180885	0.031502645690642574
GO:0017111	nucleoside-triphosphatase activity	2	3	0.0054048656822180885	0.031502645690642574
GO:0061676	importin-alpha family protein binding	2	3	0.0054048656822180885	0.031502645690642574
GO:0090722	receptor-receptor interaction	2	3	0.0054048656822180885	0.031502645690642574
GO:0016874	ligase activity	2	3	0.0054048656822180885	0.031502645690642574
GO:0061663	NEDD8 ligase activity	2	3	0.0054048656822180885	0.031502645690642574
GO:0050816	phosphothreonine residue binding	2	3	0.0054048656822180885	0.031502645690642574
GO:0004705	JUN kinase activity	2	3	0.0054048656822180885	0.031502645690642574
GO:0004712	protein serine/threonine/tyrosine kinase activity	3	9	0.005498664012658221	0.031597956579782455
GO:0008013	beta-catenin binding	5	30	0.008473443288102584	0.048016178632581306
