# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:0006468	protein phosphorylation	65	230	3.9373315369042226e-19	1.1623002696941266e-15
GO:0018105	peptidyl-serine phosphorylation	35	88	7.010570166239373e-16	1.0347601565369313e-12
GO:0043066	negative regulation of apoptotic process	57	268	3.385478953217342e-11	3.3313112899658646e-08
GO:0018107	peptidyl-threonine phosphorylation	20	44	6.618409778235984e-11	4.884386416338156e-08
GO:0050821	protein stabilization	38	151	4.760973308250152e-10	2.8108786411908893e-07
GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	18	42	1.964408611465502e-09	9.664890368410269e-07
GO:0045944	positive regulation of transcription by RNA polymerase II	105	705	2.4704625767873774e-09	1.0418293609537626e-06
GO:0000122	negative regulation of transcription by RNA polymerase II	76	469	1.3559992039829871e-08	5.003637062697222e-06
GO:0071276	cellular response to cadmium ion	12	22	3.5008304350712466e-08	1.033445144433032e-05
GO:0032212	positive regulation of telomere maintenance via telomerase	14	30	3.3348443659697325e-08	1.033445144433032e-05
GO:0046777	protein autophosphorylation	31	134	1.549979506064152e-07	4.159581365364888e-05
GO:0001934	positive regulation of protein phosphorylation	29	122	2.0988625392651812e-07	5.163201846592345e-05
GO:0006476	protein deacetylation	9	14	2.810546424153825e-07	6.382102341616995e-05
GO:0010628	positive regulation of gene expression	50	284	3.665280765500978e-07	7.487281338526787e-05
GO:0042307	positive regulation of protein import into nucleus	12	26	3.804512875267676e-07	7.487281338526787e-05
GO:0032091	negative regulation of protein binding	18	57	5.110754317882256e-07	8.87467455669907e-05
GO:0042752	regulation of circadian rhythm	18	57	5.110754317882256e-07	8.87467455669907e-05
GO:0034605	cellular response to heat	12	27	6.32548392987624e-07	0.00010373793644997033
GO:0045892	negative regulation of transcription, DNA-templated	62	396	1.0748246302848414e-06	0.0001669938057158343
GO:0045727	positive regulation of translation	15	44	1.5309748453485913e-06	0.00022597188717345205
GO:0031647	regulation of protein stability	18	62	2.032558892486307e-06	0.00028571970717236085
GO:0018108	peptidyl-tyrosine phosphorylation	16	51	2.4234707702911886e-06	0.0002920225565106947
GO:0043536	positive regulation of blood vessel endothelial cell migration	13	35	2.5405361290752777e-06	0.0002920225565106947
GO:0051091	positive regulation of DNA-binding transcription factor activity	22	88	2.502543681516968e-06	0.0002920225565106947
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	21	81	2.2445698326341248e-06	0.0002920225565106947
GO:0002181	cytoplasmic translation	10	21	2.5720143866118093e-06	0.0002920225565106947
GO:0071480	cellular response to gamma radiation	9	17	2.7029293380464342e-06	0.0002955202742930768
GO:1904851	positive regulation of establishment of protein localization to telomere	7	10	2.8331933374421797e-06	0.0002986995261474755
GO:0007271	synaptic transmission, cholinergic	5	5	4.220749421512381e-06	0.0004153217430768183
GO:0035095	behavioral response to nicotine	5	5	4.220749421512381e-06	0.0004153217430768183
GO:2000059	negative regulation of ubiquitin-dependent protein catabolic process	8	14	4.693500975878706e-06	0.00044694241550948194
GO:0034614	cellular response to reactive oxygen species	11	27	5.30722355650794e-06	0.0004895913730878575
GO:1902895	positive regulation of pri-miRNA transcription by RNA polymerase II	12	32	5.527538284567557e-06	0.0004944634247285888
GO:0016567	protein ubiquitination	30	150	6.239035157389926e-06	0.0005416950524886782
GO:0008284	positive regulation of cell proliferation	45	270	6.461949359208175e-06	0.0005450192716680724
GO:0031396	regulation of protein ubiquitination	7	11	7.222894078559427e-06	0.000592277314441873
GO:0033209	tumor necrosis factor-mediated signaling pathway	11	28	8.079679680426255e-06	0.0006446274166653596
GO:0007229	integrin-mediated signaling pathway	14	44	8.599390899304962e-06	0.0006509077419166217
GO:1901224	positive regulation of NIK/NF-kappaB signaling	14	44	8.599390899304962e-06	0.0006509077419166217
GO:0032092	positive regulation of protein binding	15	50	9.266467381764678e-06	0.0006838652927742332
GO:0006338	chromatin remodeling	14	45	1.1525818022375222e-05	0.0008298588976110161
GO:0045893	positive regulation of transcription, DNA-templated	64	444	1.217130560485458e-05	0.0008554689082269219
GO:0035556	intracellular signal transduction	20	83	1.2928263366811955e-05	0.0008875403129960207
GO:0006974	cellular response to DNA damage stimulus	34	187	1.3589925896089525e-05	0.0009117604828467336
GO:0007179	transforming growth factor beta receptor signaling pathway	14	46	1.5298457599045883e-05	0.00100357881849741
GO:0006975	DNA damage induced protein phosphorylation	5	6	2.3554663623629477e-05	0.0014440243895672256
GO:0030516	regulation of axon extension	5	6	2.3554663623629477e-05	0.0014440243895672256
GO:0070555	response to interleukin-1	9	21	2.3969239528724272e-05	0.0014440243895672256
GO:1904667	negative regulation of ubiquitin protein ligase activity	6	9	2.3785957331524424e-05	0.0014440243895672256
GO:0031623	receptor internalization	11	32	3.545166314560289e-05	0.0020930661921163946
GO:0051092	positive regulation of NF-kappaB transcription factor activity	24	118	3.904392297586921e-05	0.0022599541298973704
GO:0034644	cellular response to UV	13	44	4.3705304011307274e-05	0.002434302970592058
GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB signaling	22	104	4.3405081409205205e-05	0.002434302970592058
