# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-2565942	Regulation of PLK1 Activity at G2/M Transition	24	87	5.572651938632039e-16	5.338600557209493e-13
R-HSA-2871796	FCERI mediated MAPK activation	14	32	5.423896684076476e-13	5.196093023345264e-10
R-HSA-8854518	AURKA Activation by TPX2	19	72	1.6045162332962838e-12	1.5371265514978398e-09
R-HSA-380259	Loss of Nlp from mitotic centrosomes	18	69	7.790583126007892e-12	7.46337863471556e-09
R-HSA-380284	Loss of proteins required for interphase microtubule organization from the centrosome	18	69	7.790583126007892e-12	7.46337863471556e-09
R-HSA-3371511	HSF1 activation	9	12	1.0647730024245292e-11	1.020052536322699e-08
R-HSA-6804756	Regulation of TP53 Activity through Phosphorylation	20	92	2.0243503255022567e-11	1.939327611831162e-08
R-HSA-629597	Highly calcium permeable nicotinic acetylcholine receptors	7	7	4.8268661437245456e-11	4.6241377656881146e-08
R-HSA-629587	Highly sodium permeable postsynaptic acetylcholine nicotinic receptors	7	7	4.8268661437245456e-11	4.6241377656881146e-08
R-HSA-450341	Activation of the AP-1 family of transcription factors	8	10	6.78956651076915e-11	6.504404717316846e-08
R-HSA-1236382	Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants	10	19	1.2283275433928395e-10	1.1767377865703402e-07
R-HSA-380270	Recruitment of mitotic centrosome proteins and complexes	18	81	1.4261529152120958e-10	1.3662544927731878e-07
R-HSA-2122947	NOTCH1 Intracellular Domain Regulates Transcription	14	47	2.4791365878342157e-10	2.3750128511451788e-07
R-HSA-5620912	Anchoring of the basal body to the plasma membrane	19	97	4.400702174063117e-10	4.2158726827524663e-07
R-HSA-1295596	Spry regulation of FGF signaling	9	16	4.908827001459238e-10	4.70265626739795e-07
R-HSA-8943724	Regulation of PTEN gene transcription	15	60	8.647377540584455e-10	8.284187683879908e-07
R-HSA-2029482	Regulation of actin dynamics for phagocytic cup formation	15	61	1.1119863800499338e-09	1.0652829520878367e-06
R-HSA-5625740	RHO GTPases activate PKNs	11	29	1.1480200543497646e-09	1.0998032120670745e-06
R-HSA-380320	Recruitment of NuMA to mitotic centrosomes	18	92	1.3064389475661209e-09	1.2515685117683438e-06
R-HSA-629594	Highly calcium permeable postsynaptic nicotinic acetylcholine receptors	7	9	1.6382559643597357e-09	1.569449213856627e-06
