# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:0004674	protein serine/threonine kinase activity	32	211	3.1913400185628785e-10	1.3020667275736545e-07
GO:0015464	acetylcholine receptor activity	8	10	4.5863430554996653e-10	1.8712279666438633e-07
GO:0022848	acetylcholine-gated cation-selective channel activity	7	9	8.698704430655632e-09	3.549071407707498e-06
GO:0004672	protein kinase activity	18	98	1.4659282854293703e-07	5.980987404551831e-05
GO:0003723	RNA binding	20	137	1.4264346316477803e-06	0.0005819853297122944
GO:0033558	protein deacetylase activity	6	11	2.3628475179111486e-06	0.0009640417873077486
GO:0030235	nitric-oxide synthase regulator activity	4	4	3.398290951361686e-06	0.001386502708155568
GO:1904315	transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	4	4	3.398290951361686e-06	0.001386502708155568
GO:0022850	serotonin-gated cation-selective channel activity	4	4	3.398290951361686e-06	0.001386502708155568
GO:0003684	damaged DNA binding	8	25	6.23406231192938e-06	0.002543497423267187
GO:1990841	promoter-specific chromatin binding	9	35	1.2060157123260816e-05	0.004920544106290413
GO:0051117	ATPase binding	6	14	1.3752265246056652e-05	0.005610924220391114
GO:0004407	histone deacetylase activity	6	15	2.2092987322852057e-05	0.009013938827723639
GO:0098505	G-rich strand telomeric DNA binding	5	10	3.048362675265602e-05	0.012437319715083656
GO:0004713	protein tyrosine kinase activity	10	49	3.543574528259967e-05	0.014457784075300665
GO:0003714	transcription corepressor activity	14	95	4.988761602877172e-05	0.02035414733973886
GO:0003682	chromatin binding	19	161	5.8481770339903145e-05	0.023860562298680485
GO:0030911	TPR domain binding	3	3	7.950922003669405e-05	0.032439761774971175
GO:0003730	mRNA 3'-UTR binding	9	44	8.59168986143211e-05	0.03505409463464301
GO:0004693	cyclin-dependent protein serine/threonine kinase activity	4	7	0.00010720200670830024	0.043738418736986494
