# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:0018105	peptidyl-serine phosphorylation	26	88	4.194847621883804e-18	8.284824053220512e-15
GO:0006468	protein phosphorylation	38	230	1.6823417557019548e-16	1.6613124837556802e-13
GO:0018107	peptidyl-threonine phosphorylation	14	44	8.450339747123523e-11	5.5631403335229855e-08
GO:0045944	positive regulation of transcription by RNA polymerase II	57	705	3.1684940690966823e-10	1.4146822169880225e-07
GO:0043066	negative regulation of apoptotic process	32	268	3.581473967058285e-10	1.4146822169880225e-07
GO:0032212	positive regulation of telomere maintenance via telomerase	11	30	1.6507705216533234e-09	5.43378630044219e-07
GO:0032091	negative regulation of protein binding	14	57	3.803912039074953e-09	1.073246611024719e-06
GO:0000122	negative regulation of transcription by RNA polymerase II	41	469	1.5243622878175718e-08	3.7120616351745683e-06
GO:0071276	cellular response to cadmium ion	9	22	1.6915723907124616e-08	3.7120616351745683e-06
GO:0051091	positive regulation of DNA-binding transcription factor activity	16	88	3.046229434538119e-08	6.016303133212785e-06
GO:0007271	synaptic transmission, cholinergic	5	5	4.2140935127305236e-08	6.935695573035654e-06
GO:0035095	behavioral response to nicotine	5	5	4.2140935127305236e-08	6.935695573035654e-06
GO:0035556	intracellular signal transduction	15	83	9.019915286516052e-08	1.272452335062086e-05
GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	11	42	9.001698164959277e-08	1.272452335062086e-05
GO:0001934	positive regulation of protein phosphorylation	18	122	1.2080850689241077e-07	1.590645340750075e-05
GO:0034644	cellular response to UV	11	44	1.518331385909206e-07	1.6659469373170455e-05
GO:0045892	negative regulation of transcription, DNA-templated	35	396	1.452033360910637e-07	1.6659469373170455e-05
GO:0034614	cellular response to reactive oxygen species	9	27	1.372934000811995e-07	1.6659469373170455e-05
GO:0042752	regulation of circadian rhythm	12	57	3.156068183873364e-07	3.2806498227104705e-05
GO:0016567	protein ubiquitination	19	150	6.225295498210076e-07	6.14747930448245e-05
GO:0010628	positive regulation of gene expression	27	284	1.0314013720446116e-06	9.700084332324323e-05
GO:0031648	protein destabilization	9	34	1.247223806996525e-06	0.00011196668267355167
GO:0043536	positive regulation of blood vessel endothelial cell migration	9	35	1.6297153470989325e-06	0.0001399429482834953
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	13	81	2.6916454440007703e-06	0.00022149998966256338
GO:0050821	protein stabilization	18	151	3.0073190686218854e-06	0.00023757820642112895
GO:0007099	centriole replication	6	14	3.3376575447860554e-06	0.00025353360195971
GO:0070555	response to interleukin-1	7	21	3.574085774773753e-06	0.00026143775574733933
GO:0018108	peptidyl-tyrosine phosphorylation	10	51	6.1290512981646095e-06	0.00040561891473626097
GO:0070934	CRD-mediated mRNA stabilization	4	5	6.161299970677382e-06	0.00040561891473626097
GO:0051973	positive regulation of telomerase activity	8	31	6.098306333255008e-06	0.00040561891473626097
GO:0031398	positive regulation of protein ubiquitination	10	52	7.364660242991664e-06	0.0004692001283841463
GO:1902895	positive regulation of pri-miRNA transcription by RNA polymerase II	8	32	7.89511093690431e-06	0.0004872763781370628
GO:0043923	positive regulation by host of viral transcription	6	16	8.405016544573469e-06	0.0005030275053191697
GO:1903827	regulation of cellular protein localization	5	10	9.232057392226207e-06	0.0005209518099899074
GO:1904851	positive regulation of establishment of protein localization to telomere	5	10	9.232057392226207e-06	0.0005209518099899074
GO:0045739	positive regulation of DNA repair	7	24	9.748682704692812e-06	0.0005348235650491195
GO:0046777	protein autophosphorylation	16	134	1.049454895088938e-05	0.0005601820048109872
GO:1901224	positive regulation of NIK/NF-kappaB signaling	9	44	1.2521925263796864e-05	0.0006232701825704635
GO:0071480	cellular response to gamma radiation	6	17	1.2623193571047362e-05	0.0006232701825704635
GO:0045727	positive regulation of translation	9	44	1.2521925263796864e-05	0.0006232701825704635
GO:0045893	positive regulation of transcription, DNA-templated	33	444	1.5055347165958369e-05	0.000725227089091897
GO:0031396	regulation of protein ubiquitination	5	11	1.6459094573564247e-05	0.000773969328161652
GO:0006974	cellular response to DNA damage stimulus	19	187	1.6869883032602216e-05	0.000774837650916032
GO:0006975	DNA damage induced protein phosphorylation	4	6	1.799219311854033e-05	0.0007873429289598775
GO:0007179	transforming growth factor beta receptor signaling pathway	9	46	1.8338113788432588e-05	0.0007873429289598775
GO:0048660	regulation of smooth muscle cell proliferation	4	6	1.799219311854033e-05	0.0007873429289598775
GO:0048146	positive regulation of fibroblast proliferation	7	27	2.2924257039386933e-05	0.0009432376594331081
GO:0034605	cellular response to heat	7	27	2.2924257039386933e-05	0.0009432376594331081
GO:0071902	positive regulation of protein serine/threonine kinase activity	7	29	3.801799585249834e-05	0.0013651916692488041
GO:0031647	regulation of protein stability	10	62	3.712305183313384e-05	0.0013651916692488041
GO:0060084	synaptic transmission involved in micturition	3	3	3.791487888918065e-05	0.0013651916692488041
GO:0031281	positive regulation of cyclase activity	3	3	3.791487888918065e-05	0.0013651916692488041
GO:0072717	cellular response to actinomycin D	3	3	3.791487888918065e-05	0.0013651916692488041
GO:1904385	cellular response to angiotensin	3	3	3.791487888918065e-05	0.0013651916692488041
GO:1902499	positive regulation of protein autoubiquitination	3	3	3.791487888918065e-05	0.0013651916692488041
GO:0008284	positive regulation of cell proliferation	23	270	3.961908298798743e-05	0.0013972801589513424
GO:0043393	regulation of protein binding	4	7	4.08661731484464e-05	0.001415977052073362
GO:0000380	alternative mRNA splicing, via spliceosome	5	13	4.336129883028659e-05	0.0014765269860313108
GO:0006302	double-strand break repair	8	40	4.5625241203000015e-05	0.0015272856165411022
GO:0007165	signal transduction	10	64	4.926891147135325e-05	0.0016217683359320445
GO:0033138	positive regulation of peptidyl-serine phosphorylation	10	66	6.46502572252774e-05	0.00208957086808241
GO:0006476	protein deacetylation	5	14	6.559665509929591e-05	0.00208957086808241
GO:0031623	receptor internalization	7	32	7.515453368147837e-05	0.002356034984459044
GO:0060396	growth hormone receptor signaling pathway	4	8	7.956273766624342e-05	0.0024552563576692304
GO:0007229	integrin-mediated signaling pathway	8	44	9.350268391594218e-05	0.0028410430882151658
GO:0071157	negative regulation of cell cycle arrest	5	15	9.569213784085657e-05	0.002863514730843814
GO:0017148	negative regulation of translation	8	46	0.00012982281425814277	0.0038268665396989842
GO:0051131	chaperone-mediated protein complex assembly	5	16	0.00013536810206437583	0.003931647082016798
GO:0032922	circadian regulation of gene expression	9	59	0.00014231220358327482	0.003946306145055972
GO:0032079	positive regulation of endodeoxyribonuclease activity	3	4	0.00014786159733374274	0.003946306145055972
GO:0007346	regulation of mitotic cell cycle	6	25	0.00014376688208659312	0.003946306145055972
GO:0042053	regulation of dopamine metabolic process	3	4	0.00014786159733374274	0.003946306145055972
GO:0090330	regulation of platelet aggregation	3	4	0.00014786159733374274	0.003946306145055972
GO:0070842	aggresome assembly	3	4	0.00014786159733374274	0.003946306145055972
GO:0031532	actin cytoskeleton reorganization	8	48	0.0001770624100085295	0.004599534004444916
GO:0070372	regulation of ERK1 and ERK2 cascade	6	26	0.00018165248220086252	0.004599534004444916
GO:0042307	positive regulation of protein import into nucleus	6	26	0.00018165248220086252	0.004599534004444916
GO:0031333	negative regulation of protein complex assembly	6	26	0.00018165248220086252	0.004599534004444916
GO:0016575	histone deacetylation	5	17	0.00018651181393863214	0.004662795348465803
GO:0016310	phosphorylation	6	27	0.0002270034036811415	0.00546746002768603
GO:0071479	cellular response to ionizing radiation	6	27	0.0002270034036811415	0.00546746002768603
GO:0007265	Ras protein signal transduction	6	27	0.0002270034036811415	0.00546746002768603
GO:1900026	positive regulation of substrate adhesion-dependent cell spreading	6	28	0.0002808159457400053	0.0066025177718632205
GO:0033209	tumor necrosis factor-mediated signaling pathway	6	28	0.0002808159457400053	0.0066025177718632205
GO:0032211	negative regulation of telomere maintenance via telomerase	5	19	0.00033153899639476106	0.007703406092701801
GO:0090263	positive regulation of canonical Wnt signaling pathway	9	66	0.0003409166751230797	0.007829191085675377
GO:0035066	positive regulation of histone acetylation	4	11	0.000346058679745111	0.007855929798811428
GO:2000617	positive regulation of histone H3-K9 acetylation	3	5	0.0003604120433683808	0.00799790770396126
GO:0120041	positive regulation of macrophage proliferation	3	5	0.0003604120433683808	0.00799790770396126
GO:0001837	epithelial to mesenchymal transition	6	30	0.00041815055586343135	0.009176081642558632
GO:0042535	positive regulation of tumor necrosis factor biosynthetic process	5	20	0.00042995668746343373	0.009230048453698713
GO:0030511	positive regulation of transforming growth factor beta receptor signaling pathway	5	20	0.00042995668746343373	0.009230048453698713
GO:0031397	negative regulation of protein ubiquitination	7	42	0.000451122055366786	0.00958028020805809
GO:0070301	cellular response to hydrogen peroxide	6	31	0.0005040007208839526	0.00988220860579547
GO:0046677	response to antibiotic	4	12	0.0005053686426254898	0.00988220860579547
GO:0030520	intracellular estrogen receptor signaling pathway	4	12	0.0005053686426254898	0.00988220860579547
GO:0048814	regulation of dendrite morphogenesis	4	12	0.0005053686426254898	0.00988220860579547
GO:0010832	negative regulation of myotube differentiation	4	12	0.0005053686426254898	0.00988220860579547
GO:0051571	positive regulation of histone H3-K4 methylation	4	12	0.0005053686426254898	0.00988220860579547
GO:1905564	positive regulation of vascular endothelial cell proliferation	4	12	0.0005053686426254898	0.00988220860579547
GO:0040029	regulation of gene expression, epigenetic	4	12	0.0005053686426254898	0.00988220860579547
GO:0016236	macroautophagy	5	21	0.0005488898216190112	0.01062801370291713
GO:0051092	positive regulation of NF-kappaB transcription factor activity	12	118	0.0006052158774507349	0.011493282288126936
GO:0034446	substrate adhesion-dependent cell spreading	6	32	0.000602965225632695	0.011493282288126936
GO:0030516	regulation of axon extension	3	6	0.0007028318936256291	0.012393687409916228
GO:0006338	chromatin remodeling	7	45	0.0006959587376153968	0.012393687409916228
GO:0035094	response to nicotine	3	6	0.0007028318936256291	0.012393687409916228
GO:0050877	nervous system process	3	6	0.0007028318936256291	0.012393687409916228
GO:0018394	peptidyl-lysine acetylation	3	6	0.0007028318936256291	0.012393687409916228
GO:0010288	response to lead ion	3	6	0.0007028318936256291	0.012393687409916228
GO:0033119	negative regulation of RNA splicing	3	6	0.0007028318936256291	0.012393687409916228
GO:1904951	positive regulation of establishment of protein localization	3	6	0.0007028318936256291	0.012393687409916228
GO:0042391	regulation of membrane potential	6	33	0.000716365488406514	0.012410717891253203
GO:0006298	mismatch repair	4	13	0.0007107052398705798	0.012410717891253203
GO:0043433	negative regulation of DNA-binding transcription factor activity	8	59	0.0007545289505243199	0.012958214585091582
GO:0030308	negative regulation of cell growth	10	89	0.0007863306225271007	0.013387956719750207
GO:0006357	regulation of transcription by RNA polymerase II	10	91	0.0009366421071683521	0.015676848827605894
GO:0006511	ubiquitin-dependent protein catabolic process	10	91	0.0009366421071683521	0.015676848827605894
GO:0043149	stress fiber assembly	4	14	0.0009687486737752465	0.016077971686605984
GO:0051621	regulation of norepinephrine uptake	2	2	0.0011320470959455388	0.016201398655742313
GO:0045070	positive regulation of viral genome replication	5	24	0.0010551515934198912	0.016201398655742313
